Index,Are you self-employed?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?
1102,0,,,I don't know,No,,Maybe,No,"No, I don't think it would","No, I don't think they would"
1103,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,Maybe,Maybe,Maybe
1104,0,,,Yes,Yes,,Maybe,No,"Yes, it has","Yes, they do"
1105,1,Not applicable to me,,,,Not applicable to me,,Maybe,"Yes, I think it would","Yes, I think they would"
1106,0,,,Yes,No,,No,No,"Yes, I think it would","Yes, I think they would"
1107,0,,,Yes,Maybe,,No,No,Maybe,Maybe
1108,1,"No, because it would impact me negatively",No,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
1109,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
1110,0,,,I don't know,No,,Yes,Maybe,Maybe,Maybe
1111,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","No, I don't think they would"
1112,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
1113,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1114,0,,,I don't know,No,,Yes,Yes,Maybe,Maybe
1115,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
1116,0,,,I don't know,No,,Maybe,Maybe,"No, I don't think it would",Maybe
1117,0,,,Yes,Maybe,,Maybe,No,"No, I don't think it would",Maybe
1118,0,,,Yes,Yes,,Yes,Maybe,Maybe,Maybe
1119,0,,,I don't know,Maybe,,No,Maybe,Maybe,"No, I don't think they would"
1120,0,,,No,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1121,0,,,I don't know,Yes,,No,Maybe,"Yes, I think it would","Yes, I think they would"
1122,0,,,Yes,No,,Maybe,No,Maybe,Maybe
1123,0,,,I don't know,Yes,,No,No,"Yes, it has","Yes, they do"
1124,0,,,I don't know,Yes,,Maybe,Maybe,Maybe,"No, I don't think they would"
1125,1,"No, because it doesn't matter",,,,Maybe,,No,"Yes, I think it would",Maybe
1126,0,,,I don't know,Yes,,No,No,Maybe,"Yes, I think they would"
1127,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1128,0,,,I don't know,No,,Maybe,No,"Yes, it has",Maybe
1129,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
1130,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1131,0,,,I don't know,Maybe,,Yes,No,"Yes, I think it would","Yes, I think they would"
1132,0,,,Yes,Maybe,,No,No,Maybe,Maybe
1133,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
1134,0,,,Yes,Maybe,,Yes,No,"Yes, I think it would","Yes, I think they would"
1135,0,,,Yes,Maybe,,Yes,No,Maybe,Maybe
1136,0,,,I don't know,Maybe,,Yes,No,"Yes, I think it would",Maybe
1137,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1138,0,,,I don't know,Yes,,No,No,"Yes, it has",Maybe
1139,1,"No, because it would impact me negatively",No,,,No,,No,"Yes, I think it would","Yes, I think they would"
1140,0,,,I don't know,Maybe,,Yes,Yes,"Yes, I think it would",Maybe
1141,1,"No, because it would impact me negatively",Yes,,,Yes,,No,"Yes, it has","Yes, they do"
1142,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
1143,0,,,I don't know,No,,Yes,Maybe,"No, it has not","No, they do not"
1144,0,,,I don't know,No,,Yes,No,Maybe,Maybe
1145,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,Maybe
1146,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1147,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,Maybe
1148,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1149,0,,,Yes,Maybe,,Maybe,No,Maybe,Maybe
1150,0,,,Yes,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
1151,0,,,Yes,No,,Yes,Maybe,"No, I don't think it would",Maybe
1152,0,,,Yes,Maybe,,No,No,"Yes, I think it would",Maybe
1153,0,,,I don't know,No,,Yes,Maybe,Maybe,Maybe
1154,0,,,Yes,No,,Maybe,Maybe,"No, I don't think it would",Maybe
1155,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1156,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
1157,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
1158,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1159,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
1160,0,,,Yes,No,,Yes,Maybe,Maybe,"No, I don't think they would"
1161,0,,,No,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1162,0,,,I don't know,No,,Maybe,Yes,"No, I don't think it would","No, I don't think they would"
1163,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1164,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1165,0,,,Yes,No,,Yes,Yes,"Yes, it has","No, I don't think they would"
1166,0,,,Yes,Yes,,No,No,"Yes, I think it would",Maybe
1167,0,,,Yes,No,,Yes,Maybe,"No, I don't think it would","No, I don't think they would"
1168,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1169,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1170,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1171,0,,,Yes,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1172,0,,,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1173,1,"No, because it doesn't matter",,,,Maybe,,Maybe,"No, I don't think it would","No, I don't think they would"
1174,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
1175,0,,,I don't know,No,,No,No,"No, I don't think it would",Maybe
1176,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
1177,0,,,Yes,No,,Yes,Maybe,"No, I don't think it would","No, they do not"
1178,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1179,0,,,I don't know,Yes,,Maybe,Maybe,Maybe,"Yes, they do"
1180,0,,,I don't know,No,,No,No,"Yes, I think it would",Maybe
1181,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Yes,"Yes, I think it would","Yes, I think they would"
1182,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1183,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would",Maybe
1184,0,,,I don't know,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
1185,0,,,No,Yes,,Maybe,Maybe,"Yes, I think it would","No, I don't think they would"
1186,0,,,I don't know,No,,Yes,Maybe,"No, it has not","No, they do not"
1187,0,,,I don't know,Yes,,No,No,"Yes, I think it would",Maybe
1188,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, they do not"
1189,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1190,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,No,Maybe,Maybe
1191,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1192,0,,,I don't know,Yes,,Maybe,Maybe,"Yes, I think it would","Yes, I think they would"
1193,0,,,I don't know,No,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1194,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1195,0,,,I don't know,Maybe,,Maybe,No,Maybe,"Yes, I think they would"
1196,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,No,"Yes, I think it would",Maybe
1197,0,,,Yes,Yes,,No,No,"Yes, I think it would",Maybe
1198,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1199,0,,,I don't know,Maybe,,No,No,"No, I don't think it would","No, I don't think they would"
1200,0,,,I don't know,Maybe,,No,Maybe,Maybe,"Yes, I think they would"
1201,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
1202,0,,,I don't know,No,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
1203,0,,,I don't know,Maybe,,No,Maybe,Maybe,Maybe
1204,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
1205,0,,,No,No,,Yes,No,Maybe,Maybe
1206,0,,,Yes,No,,Maybe,Maybe,"No, I don't think it would",Maybe
1207,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1208,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
1209,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has",Maybe
1210,0,,,I don't know,No,,No,No,"Yes, I think it would",Maybe
1211,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,Maybe
1212,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
1213,0,,,No,Maybe,,Maybe,No,"Yes, it has",Maybe
1214,0,,,I don't know,No,,Maybe,No,Maybe,"No, I don't think they would"
1215,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
1216,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,Maybe,"Yes, I think it would",Maybe
1217,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1218,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
1219,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would",Maybe
1220,1,"No, because it would impact me negatively",Yes,,,Maybe,,No,"Yes, it has",Maybe
1221,1,"No, because it would impact me negatively",Yes,,,No,,No,"Yes, I think it would","Yes, I think they would"
1222,0,,,Yes,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
1223,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
1224,0,,,I don't know,No,,Yes,Yes,"No, I don't think it would","No, I don't think they would"
1225,0,,,Yes,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
1226,0,,,Yes,No,,Maybe,No,"No, it has not",Maybe
1227,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has",Maybe
1228,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1229,0,,,I don't know,Yes,,No,No,"Yes, it has","Yes, I think they would"
1230,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,Maybe,"Yes, I think it would",Maybe
1231,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
1232,0,,,Yes,No,,Yes,Yes,"No, I don't think it would","No, they do not"
1233,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,Maybe
1234,0,,,Yes,Maybe,,Maybe,No,"Yes, it has","Yes, they do"
1235,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,"No, I don't think they would"
1236,0,,,I don't know,Yes,,Maybe,No,Maybe,"Yes, they do"
1237,0,,,I don't know,No,,No,No,Maybe,Maybe
1238,0,,,I don't know,Maybe,,No,Maybe,Maybe,"Yes, I think they would"
1239,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1240,1,"No, because it would impact me negatively",,,,Maybe,,Maybe,Maybe,Maybe
1241,0,,,I don't know,Maybe,,No,No,Maybe,"No, I don't think they would"
1242,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1243,0,,,No,Maybe,,No,No,Maybe,Maybe
1244,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1245,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1246,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
1247,0,,,Yes,Yes,,Yes,No,"Yes, I think it would",Maybe
1248,1,"No, because it would impact me negatively",Yes,,,Maybe,,Maybe,"Yes, it has",Maybe
1249,1,"Sometimes, if it comes up",Yes,,,Maybe,,Maybe,"Yes, it has","Yes, I think they would"
1250,0,,,I don't know,Maybe,,Maybe,Maybe,"Yes, I think it would","Yes, I think they would"
1251,0,,,I don't know,No,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
1252,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,"No, they do not"
1253,1,"Sometimes, if it comes up",I'm not sure,,,Not applicable to me,,Maybe,Maybe,Maybe
1254,0,,,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1255,1,Not applicable to me,I'm not sure,,,Not applicable to me,,No,"Yes, I think it would",Maybe
1256,0,,,I don't know,Yes,,No,No,"Yes, it has","Yes, they do"
1257,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,No,Maybe,"Yes, I think they would"
1258,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1259,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1260,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has",Maybe
1261,0,,,No,Yes,,No,Maybe,"Yes, I think it would","Yes, I think they would"
1262,1,"No, because it would impact me negatively",I'm not sure,,,No,,Maybe,"Yes, I think it would","Yes, I think they would"
1263,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would",Maybe
1264,0,,,I don't know,No,,Maybe,Yes,Maybe,"No, I don't think they would"
1265,0,,,I don't know,Yes,,No,No,Maybe,Maybe
1266,1,"No, because it doesn't matter",,,,"No, because it doesn't matter",,No,Maybe,Maybe
1267,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
1268,0,,,I don't know,Maybe,,No,No,Maybe,"No, I don't think they would"
1269,0,,,I don't know,No,,Maybe,No,"No, I don't think it would","No, I don't think they would"
1270,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,Maybe
1271,0,,,Yes,No,,Yes,No,"No, I don't think it would",Maybe
1272,0,,,I don't know,No,,Maybe,No,"Yes, I think it would","No, I don't think they would"
1273,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,Maybe
1274,0,,,Yes,Yes,,Yes,No,Maybe,"No, they do not"
1275,0,,,I don't know,No,,Yes,No,Maybe,"No, I don't think they would"
1276,0,,,Yes,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1277,1,"No, because it doesn't matter",,,,"No, because it doesn't matter",,Maybe,"No, I don't think it would","No, I don't think they would"
1278,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,No,Maybe,Maybe
1279,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,Maybe
1280,0,,,Yes,No,,Yes,Maybe,"Yes, I think it would","Yes, I think they would"
1281,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","No, I don't think they would"
1282,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,"Yes, I think they would"
1283,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
1284,0,,,I don't know,No,,No,No,"Yes, I think it would","Yes, I think they would"
1285,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1286,0,,,I don't know,Maybe,,Maybe,Yes,Maybe,Maybe
1287,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1288,0,,,Yes,No,,Yes,Maybe,"Yes, it has","No, I don't think they would"
1289,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
1290,0,,,I don't know,Maybe,,No,Yes,Maybe,Maybe
1291,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
1292,0,,,Yes,No,,Maybe,No,"Yes, I think it would",Maybe
1293,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","No, I don't think they would"
1294,1,"No, because it would impact me negatively",Yes,,,No,,Yes,"Yes, it has","Yes, I think they would"
1295,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
1296,0,,,No,Yes,,No,No,"Yes, it has","Yes, they do"
1297,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
1298,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
1299,0,,,Yes,No,,No,No,"Yes, I think it would","Yes, I think they would"
1300,1,"Sometimes, if it comes up",I'm not sure,,,Yes,,Yes,Maybe,Maybe
1301,0,,,Yes,No,,Yes,Maybe,Maybe,"No, they do not"
1302,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
1303,0,,,I don't know,Maybe,,No,No,"Yes, it has","Yes, I think they would"
1304,0,,,No,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1305,1,"No, because it would impact me negatively",Yes,,,No,,No,"Yes, it has","Yes, they do"
1306,1,Not applicable to me,No,,,Not applicable to me,,Yes,"No, I don't think it would","No, I don't think they would"
1307,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1308,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1309,0,,,I don't know,Maybe,,No,Maybe,"Yes, I think it would",Maybe
1310,1,Not applicable to me,,,,Not applicable to me,,Maybe,"Yes, I think it would",Maybe
1311,0,,,Yes,Maybe,,No,Maybe,"Yes, I think it would","Yes, I think they would"
1312,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
1313,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1314,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,No,"Yes, I think it would","Yes, I think they would"
1315,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1316,1,"No, because it would impact me negatively",I'm not sure,,,No,,No,"Yes, I think it would","Yes, I think they would"
1317,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,Maybe
1318,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
1319,0,,,I don't know,Maybe,,No,Maybe,"Yes, I think it would",Maybe
1320,0,,,I don't know,Maybe,,No,Maybe,"Yes, I think it would","Yes, I think they would"
1321,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1322,1,"Sometimes, if it comes up",,,,Maybe,,No,"Yes, I think it would","Yes, I think they would"
1323,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
1324,0,,,Yes,Yes,,Maybe,No,Maybe,"No, I don't think they would"
1325,0,,,Yes,No,,Yes,No,Maybe,"No, I don't think they would"
1326,0,,,I don't know,Maybe,,Yes,No,"No, it has not","No, I don't think they would"
1327,1,"No, because it would impact me negatively",Yes,,,Maybe,,No,"Yes, it has","Yes, I think they would"
1328,1,"No, because it would impact me negatively",Yes,,,No,,No,"Yes, I think it would","Yes, they do"
1329,0,,,I don't know,Maybe,,Yes,Maybe,"Yes, I think it would","No, I don't think they would"
1330,0,,,I don't know,Yes,,No,No,"Yes, it has",Maybe
1331,0,,,I don't know,Yes,,Yes,No,Maybe,Maybe
1332,0,,,I don't know,No,,Maybe,No,Maybe,"No, I don't think they would"
1333,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
1334,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1335,0,,,Yes,No,,Yes,Maybe,Maybe,Maybe
1336,0,,,No,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1337,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
1338,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1339,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1340,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
1341,0,,,No,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1342,0,,,I don't know,No,,Maybe,No,"Yes, I think it would",Maybe
1343,0,,,No,Yes,,Maybe,Maybe,Maybe,"Yes, they do"
1344,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
1345,0,,,I don't know,Yes,,No,No,"Yes, it has",Maybe
1346,0,,,Yes,No,,Maybe,Yes,"Yes, I think it would","Yes, I think they would"
1347,0,,,Yes,No,,No,Maybe,"No, I don't think it would","No, I don't think they would"
1348,1,"Sometimes, if it comes up",No,,,Maybe,,Yes,"No, I don't think it would","Yes, they do"
1349,0,,,No,No,,Yes,Maybe,Maybe,"No, they do not"
1350,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1351,0,,,No,Maybe,,No,Maybe,"Yes, I think it would","No, I don't think they would"
1352,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,"No, I don't think they would"
1353,0,,,I don't know,Maybe,,No,Yes,"No, I don't think it would","No, I don't think they would"
1354,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1355,1,"Sometimes, if it comes up",No,,,Maybe,,No,Maybe,"No, they do not"
1356,0,,,No,Maybe,,Maybe,No,"Yes, it has","Yes, I think they would"
1357,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
1358,0,,,I don't know,No,,Yes,Yes,"No, I don't think it would","No, I don't think they would"
1359,0,,,Yes,No,,Yes,Maybe,"No, I don't think it would","No, I don't think they would"
1360,0,,,I don't know,Maybe,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
1361,0,,,I don't know,Maybe,,Maybe,No,Maybe,"No, I don't think they would"
1362,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
1363,0,,,Yes,Maybe,,Maybe,No,Maybe,Maybe
1364,0,,,I don't know,Maybe,,No,No,Maybe,"No, I don't think they would"
1365,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,No,"Yes, I think it would","Yes, I think they would"
1366,1,"No, because it would impact me negatively",,,,Maybe,,No,"Yes, I think it would","Yes, I think they would"
1367,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has","Yes, I think they would"
1368,1,Not applicable to me,I'm not sure,,,Not applicable to me,,Maybe,Maybe,Maybe
1369,0,,,Yes,Maybe,,Maybe,No,Maybe,"Yes, I think they would"
1370,1,Not applicable to me,,,,Not applicable to me,,Yes,"Yes, I think it would","No, I don't think they would"
1371,1,"Sometimes, if it comes up",No,,,Maybe,,No,"No, it has not","No, I don't think they would"
1372,0,,,I don't know,Maybe,,No,No,Maybe,"No, I don't think they would"
1373,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1374,0,,,I don't know,Yes,,Maybe,No,Maybe,Maybe
1375,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
1376,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1377,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1378,0,,,Yes,Maybe,,Yes,No,"Yes, I think it would","Yes, I think they would"
1379,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1380,0,,,Yes,No,,Maybe,No,Maybe,Maybe
1381,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1382,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
1383,1,"Sometimes, if it comes up",Yes,,,No,,No,"Yes, I think it would","Yes, I think they would"
1384,0,,,Yes,No,,Yes,Yes,Maybe,Maybe
1385,0,,,I don't know,Maybe,,No,Maybe,"No, I don't think it would","No, I don't think they would"
1386,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1387,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1388,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
1389,0,,,Yes,Maybe,,Maybe,Maybe,"Yes, I think it would",Maybe
1390,0,,,I don't know,Maybe,,Yes,No,Maybe,"No, I don't think they would"
1391,0,,,I don't know,Yes,,No,No,"Yes, it has","Yes, they do"
1392,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1393,0,,,No,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1394,0,,,Yes,Maybe,,Yes,Maybe,"Yes, I think it would",Maybe
1395,0,,,No,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1396,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","No, I don't think they would"
1397,1,"No, because it would impact me negatively",Yes,,,No,,No,"Yes, I think it would","Yes, I think they would"
1398,0,,,I don't know,Yes,,No,Yes,"Yes, I think it would","Yes, I think they would"
1399,0,,,I don't know,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
1400,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
1401,0,,,I don't know,No,,Yes,No,"Yes, I think it would",Maybe
1402,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1403,0,,,No,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1404,0,,,I don't know,Yes,,No,No,"Yes, I think it would","No, I don't think they would"
1405,1,"No, because it would impact me negatively",I'm not sure,,,No,,No,Maybe,Maybe
1406,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
1407,0,,,No,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1408,0,,,Yes,Maybe,,No,No,Maybe,Maybe
1409,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would",Maybe
1410,0,,,Yes,No,,Maybe,Maybe,Maybe,Maybe
1411,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1412,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1413,0,,,Yes,No,,Maybe,Maybe,Maybe,Maybe
1414,0,,,Yes,No,,Yes,No,"No, I don't think it would","No, they do not"
1415,0,,,Yes,No,,Yes,No,"Yes, I think it would",Maybe
1416,0,,,I don't know,Maybe,,Maybe,No,Maybe,"No, I don't think they would"
1417,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
1418,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1419,0,,,I don't know,Yes,,No,Maybe,"Yes, I think it would",Maybe
1420,0,,,Yes,Maybe,,Yes,No,Maybe,Maybe
1421,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,Maybe
1422,0,,,Yes,Maybe,,Yes,No,Maybe,"No, I don't think they would"
1423,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
1424,0,,,I don't know,No,,No,No,Maybe,Maybe
1425,0,,,I don't know,Maybe,,Maybe,Maybe,"Yes, I think it would","Yes, I think they would"
1426,0,,,Yes,No,,Maybe,No,"Yes, I think it would",Maybe
1427,0,,,I don't know,Maybe,,Maybe,Maybe,"Yes, it has",Maybe
1428,0,,,Yes,No,,Yes,No,Maybe,"No, I don't think they would"
1429,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,Maybe
1430,1,"No, because it doesn't matter",No,,,"No, because it doesn't matter",,No,"No, it has not","Yes, I think they would"
1431,0,,,I don't know,Maybe,,Yes,No,"Yes, it has","No, I don't think they would"
1432,0,,,I don't know,Maybe,,Maybe,No,"No, I don't think it would","No, I don't think they would"
1433,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","No, I don't think they would"
