Index,Are you self-employed?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?
876,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has",Maybe
877,0,,,I don't know,No,,Maybe,No,"Yes, I think it would","Yes, I think they would"
878,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,"No, I don't think they would"
879,0,,,Yes,Maybe,,Maybe,No,Maybe,Maybe
880,1,"No, because it doesn't matter",I'm not sure,,,"No, because it doesn't matter",,No,"No, I don't think it would",Maybe
881,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
882,0,,,No,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
883,0,,,I don't know,Maybe,,No,Maybe,Maybe,Maybe
884,0,,,I don't know,No,,Maybe,Yes,"No, I don't think it would","No, I don't think they would"
885,0,,,Yes,Maybe,,No,Maybe,"Yes, I think it would",Maybe
886,1,"Sometimes, if it comes up",No,,,Maybe,,Maybe,Maybe,Maybe
887,1,Not applicable to me,No,,,Not applicable to me,,Yes,"No, I don't think it would",Maybe
888,1,"Sometimes, if it comes up",I'm not sure,,,Not applicable to me,,Maybe,Maybe,"No, I don't think they would"
889,1,"No, because it would impact me negatively",Yes,,,Maybe,,No,"Yes, I think it would","Yes, I think they would"
890,0,,,I don't know,No,,Yes,Yes,"Yes, it has","No, they do not"
891,0,,,Yes,No,,Yes,Maybe,"Yes, I think it would",Maybe
892,1,"No, because it would impact me negatively",I'm not sure,,,Not applicable to me,,Maybe,Maybe,Maybe
893,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would",Maybe
894,0,,,No,No,,Yes,Yes,"No, I don't think it would","No, I don't think they would"
895,1,"Sometimes, if it comes up",No,,,Yes,,No,Maybe,"No, I don't think they would"
896,0,,,I don't know,Maybe,,No,Maybe,"Yes, I think it would","Yes, I think they would"
897,1,"No, because it would impact me negatively",No,,,Maybe,,Maybe,"No, I don't think it would",Maybe
898,1,Not applicable to me,,,,Not applicable to me,,No,"No, I don't think it would","No, I don't think they would"
899,0,,,I don't know,Yes,,Maybe,Maybe,"Yes, I think it would","Yes, I think they would"
900,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
901,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,Maybe
902,1,"Sometimes, if it comes up",No,,,No,,No,Maybe,"Yes, they do"
903,1,"Sometimes, if it comes up",No,,,Yes,,No,Maybe,"No, I don't think they would"
904,0,,,I don't know,Maybe,,Yes,No,"Yes, I think it would",Maybe
905,0,,,I don't know,Maybe,,No,No,"No, I don't think it would",Maybe
906,0,,,Yes,No,,No,No,"Yes, it has","No, I don't think they would"
907,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
908,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,"No, I don't think they would"
909,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
910,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
911,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
912,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
913,1,"Sometimes, if it comes up",No,,,Yes,,No,"No, I don't think it would","No, I don't think they would"
914,0,,,I don't know,No,,No,No,Maybe,Maybe
915,1,"No, because it doesn't matter",,,,Maybe,,Maybe,Maybe,Maybe
916,0,,,Yes,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
917,0,,,Yes,Maybe,,Maybe,Maybe,"Yes, I think it would",Maybe
918,0,,,No,Maybe,,No,No,Maybe,Maybe
919,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Maybe,Maybe,Maybe
920,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
921,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Maybe,Maybe,Maybe
922,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,Maybe
923,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
924,0,,,I don't know,No,,No,Yes,Maybe,Maybe
925,0,,,I don't know,No,,Yes,Yes,Maybe,Maybe
926,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
927,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
928,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,"No, I don't think they would"
929,0,,,I don't know,No,,No,No,Maybe,Maybe
930,0,,,I don't know,No,,Maybe,Maybe,"Yes, I think it would",Maybe
931,0,,,No,Maybe,,Maybe,Maybe,Maybe,Maybe
932,0,,,No,Maybe,,Maybe,Maybe,Maybe,Maybe
933,0,,,I don't know,Yes,,No,No,Maybe,Maybe
934,0,,,Yes,Maybe,,Maybe,No,Maybe,"Yes, I think they would"
935,0,,,I don't know,Maybe,,Yes,Maybe,"Yes, I think it would","No, I don't think they would"
936,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
937,0,,,I don't know,No,,Maybe,No,Maybe,"No, I don't think they would"
938,0,,,Yes,No,,Yes,Maybe,Maybe,Maybe
939,0,,,I don't know,Maybe,,Maybe,No,Maybe,"No, I don't think they would"
940,0,,,I don't know,No,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
941,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,"No, I don't think they would"
942,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
943,0,,,I don't know,No,,No,No,"Yes, I think it would",Maybe
944,0,,,I don't know,Maybe,,Maybe,Maybe,"No, I don't think it would",Maybe
945,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has","No, I don't think they would"
946,0,,,Yes,No,,Maybe,Yes,"No, I don't think it would","No, I don't think they would"
947,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
948,0,,,Yes,No,,Maybe,No,Maybe,Maybe
949,0,,,I don't know,Yes,,No,No,"Yes, it has",Maybe
950,1,"No, because it doesn't matter",,,,Maybe,,Maybe,Maybe,Maybe
951,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
952,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
953,1,"No, because it doesn't matter",I'm not sure,,,Maybe,,No,Maybe,Maybe
954,0,,,Yes,Maybe,,No,No,Maybe,"No, I don't think they would"
955,0,,,Yes,No,,Maybe,Maybe,Maybe,Maybe
956,0,,,I don't know,Yes,,No,Maybe,"Yes, I think it would","Yes, I think they would"
957,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
958,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
959,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
960,0,,,Yes,Maybe,,Maybe,No,Maybe,Maybe
961,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
962,0,,,Yes,No,,Yes,No,Maybe,Maybe
963,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
964,0,,,I don't know,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
965,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
966,0,,,No,Yes,,Maybe,No,Maybe,Maybe
967,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
968,0,,,Yes,No,,Yes,No,"Yes, I think it would","No, they do not"
969,0,,,Yes,Maybe,,Yes,Yes,Maybe,"No, I don't think they would"
970,0,,,I don't know,No,,Yes,Yes,Maybe,Maybe
971,0,,,I don't know,Yes,,No,No,"Yes, it has",Maybe
972,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,Maybe
973,0,,,Yes,Yes,,Yes,No,"No, I don't think it would","Yes, I think they would"
974,0,,,I don't know,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
975,0,,,I don't know,Yes,,No,No,"Yes, it has","Yes, I think they would"
976,0,,,I don't know,Maybe,,Maybe,Maybe,"Yes, I think it would",Maybe
977,0,,,Yes,No,,Maybe,Maybe,Maybe,Maybe
978,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
979,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
980,0,,,Yes,Maybe,,No,Maybe,"No, I don't think it would","No, I don't think they would"
981,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would",Maybe
982,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,Maybe
983,0,,,I don't know,Yes,,Maybe,Maybe,Maybe,Maybe
984,1,"No, because it doesn't matter",,,,"No, because it doesn't matter",,No,"Yes, I think it would","Yes, I think they would"
985,0,,,I don't know,Maybe,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
986,0,,,Yes,No,,Yes,Maybe,"No, I don't think it would","No, I don't think they would"
987,1,"No, because it would impact me negatively",Yes,,,No,,No,Maybe,Maybe
988,0,,,I don't know,Yes,,Yes,No,"Yes, I think it would","Yes, I think they would"
989,0,,,I don't know,Maybe,,No,Yes,"Yes, I think it would","No, I don't think they would"
990,1,"Sometimes, if it comes up",No,,,Yes,,Yes,Maybe,Maybe
991,0,,,I don't know,Maybe,,Yes,No,"Yes, I think it would","No, I don't think they would"
992,0,,,I don't know,No,,No,Maybe,Maybe,"No, I don't think they would"
993,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,Maybe
994,0,,,I don't know,No,,Maybe,No,"Yes, I think it would",Maybe
995,0,,,I don't know,No,,Yes,Yes,"No, I don't think it would","No, I don't think they would"
996,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
997,0,,,Yes,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
998,0,,,Yes,No,,Yes,Yes,Maybe,"No, I don't think they would"
999,0,,,I don't know,Maybe,,Yes,Yes,Maybe,Maybe
1000,0,,,I don't know,No,,No,Yes,Maybe,"No, I don't think they would"
1001,1,"Sometimes, if it comes up",No,,,Maybe,,Yes,"No, it has not","No, they do not"
1002,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
1003,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1004,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
1005,0,,,Yes,Maybe,,No,No,Maybe,Maybe
1006,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Yes,Maybe,Maybe
1007,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
1008,0,,,I don't know,No,,Yes,No,Maybe,"No, I don't think they would"
1009,0,,,I don't know,No,,Yes,Yes,"No, it has not",Maybe
1010,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
1011,1,"No, because it doesn't matter",,,,Maybe,,No,"Yes, I think it would",Maybe
1012,0,,,Yes,No,,Maybe,Maybe,Maybe,Maybe
1013,0,,,Yes,Maybe,,Maybe,No,Maybe,Maybe
